 TRIP_DISTANCE,TEL_TRIPSTART,Trip Start time in mins, TEL_STARTODO, TEL_TRIPEND,Trip End time in mins,Difference of trip times, TEL_ENDODO, TEL_SOC_START, TEL_SOC_END,Percent Lost SOC, TEL_AVG_VELOCITY, AC_ON_DURATION, HEADLAMP_ON_DURATION, CHARGE_START, CHARGE_END, CHARGE_AMOUNT (Wh), FULLCHARGEFLAG, FULLCHARGE_KMSPAN, FULLCHARGE_EFFICIENCY, FULLCHARGE_AMOUNT, VEHICLE_ID, START_BAT_ACTUAL, END_BAT_ACTUAL
34,03:15.9,0003,12393,40:06.0,0040,37,12427,69,35,34,55.14,36.83,0,30:00.0,10:00.0,4129,0,,,,8,11,5
30,08:17.0,0008,12427,45:40.0,0045,37,12458,60,30,30,50.27,19,0,30:00.0,00:00.0,4765,0,,,,8,9,4
5,33:05.2,0033,10167,46:20.3,0046,13,10172,96,86,10,23.08,13.25,0,40:00.0,20:00.0,2834,1,5,566.8,2834,7,16,15
85,31:59.3,0031,10172,36:19.5,0036,5,10258,103,10,93,41.28,2.05,0,30:00.0,30:00.0,5174,0,,,,7,16,0
19,11:04.7,0011,18804,38:08.8,0038,27,18824,75,55,20,44.44,27.07,0,40:00.0,20:00.0,6562,1,42,156.238095,6562,19,13,-1
15,07:26.2,0007,27712,30:21.2,0030,23,27727,30,9,21,39.13,14.73,16.77,40:00.0,10:00.0,15103,1,91,165.967033,15103,6,4,0
3,00:15.5,0000,10262,07:20.5,0007,7,10265,43,37,6,25.71,0,0,10:00.0,50:00.0,9339,1,93,156.053763,14513,7,6,5
2,23:39.9,0023,13274,31:39.0,0031,8,13276,35,32,3,15,7.98,0,40:00.0,30:00.0,1977,0,,,,8,5,4
18,03:52.4,0003,26897,30:15.4,0030,27,26916,65,53,12,42.22,0,22.35,10:00.0,10:00.0,4887,0,,,,17,10,8
12,02:40.2,0002,8054,22:52.2,0022,20,8067,70,59,11,39,0,0,20:00.0,50:00.0,6275,1,42,149.404762,6275,7,11,9
26,23:39.6,0023,8880,59:28.7,0059,36,8897,68,56,12,28.33,35.82,0,03:00.0,42:00.0,19978,1,58,344.448276,19978,13,11,8
18,38:22.4,0038,7882,40:34.5,0040,2,7901,79,58,21,18.39,2,0,46:00.0,49:00.0,6196,0,,,,11,12,8
15,05:32.5,0005,19691,28:02.6,0028,23,19706,71,57,14,39.13,0,0,29:00.0,20:00.0,5152,0,,,,16,12,9
9,23:21.1,0023,15522,55:49.1,0055,32,15532,84,73,11,18.75,0,0,19:00.0,17:00.0,3650,1,20,182.5,3650,5,14,-1
4,01:10.1,0001,15832,15:18.2,0015,14,15836,69,63,6,17.14,14.13,12.87,40:00.0,27:00.0,5993,1,37,161.972973,5993,5,11,10
12,05:52.2,0005,24408,22:54.2,0022,17,24421,45,34,11,45.88,12.22,0,20:00.0,20:00.0,10626,1,79,134.506329,10626,6,6,4
6,02:20.7,0002,8719,21:28.7,0021,19,8727,47,37,10,25.26,0,0,20:00.0,00:00.0,10224,1,57,179.368421,10224,7,6,5
8,05:11.7,0005,16907,24:01.7,0024,19,16915,79,73,6,25.26,12.92,1.82,50:00.0,04:00.0,4579,1,28,163.535714,4579,18,12,12
14,14:22.0,0014,9391,37:08.0,0037,23,9406,101,85,16,39.13,16.97,0,34:00.0,47:00.0,636,0,,,,9,15,-1
2,00:55.3,0000,12553,16:41.3,0016,16,12555,36,32,4,7.5,15.77,0,40:00.0,10:00.0,11448,1,66,173.454545,11448,8,5,4
18,32:26.9,0032,18530,55:59.0,0055,23,18548,71,52,19,46.96,23.53,0,40:00.0,20:00.0,7428,1,38,195.473684,7428,19,13,10
14,07:12.8,0007,18839,27:22.9,0027,20,18854,82,68,14,45,20.17,0,40:00.0,30:00.0,4751,1,30,158.366667,4751,19,14,11
3,20:28.4,0020,10380,30:22.4,0030,10,10384,83,77,6,24,0,5.85,10:00.0,30:00.0,3143,1,18,174.611111,3143,7,14,13
10,24:09.6,0024,27251,38:19.6,0038,14,27261,60,49,11,42.86,0,12.13,10:00.0,00:00.0,4884,0,,,,17,9,7
8,13:53.7,0013,8534,26:40.7,0026,13,8541,57,52,5,32.31,0,0,40:00.0,20:00.0,4233,0,,,,7,8,8
16,16:21.6,0016,15514,42:27.7,0042,26,15533,73,57,16,43.85,0,23.72,50:00.0,10:00.0,6163,1,57,108.122807,6163,15,12,-1
3,39:00.0,0039,10752,45:53.0,0045,6,10755,52,49,3,25.71,6.88,0,40:00.0,20:00.0,9409,1,72,165.597222,11923,8,7,7
7,06:56.7,0006,8541,18:13.7,0018,12,8549,52,43,9,40,0,8.23,20:00.0,50:00.0,9582,1,85,162.529412,13815,7,8,6
34,06:17.6,0006,11191,42:13.7,0042,36,11226,68,35,33,58.33,35.93,0,40:00.0,40:00.0,2597,0,,,,8,11,5
14,19:28.7,0019,20163,56:08.8,0056,37,20177,81,65,16,22.7,36.67,0,56:00.0,09:00.0,5918,1,41,144.341463,5918,16,14,11
5,34:20.1,0034,23989,43:20.1,0043,9,23994,60,55,5,33.33,0,0,00:00.0,40:00.0,6366,0,,,,17,9,8
2,44:59.7,0045,11227,51:37.7,0051,6,11229,54,52,2,17.14,6.63,0,50:00.0,20:00.0,8954,1,69,167.405797,11551,8,8,8
18,09:23.4,0009,15873,39:38.5,0039,30,15892,84,68,16,38,0,17.97,50:00.0,50:00.0,5072,1,38,133.473684,5072,15,15,11
15,24:29.2,0024,24009,44:08.2,0044,20,24023,56,46,10,42,0,17.63,20:00.0,00:00.0,9945,1,105,155.342857,16311,17,9,7
3,05:59.2,0005,24320,15:47.2,0015,10,24323,64,57,7,18,9.8,9.8,20:00.0,00:00.0,7031,1,35,200.885714,7031,17,10,9
30,03:46.6,0003,11962,40:40.6,0040,37,11992,65,36,29,48.65,32.85,0,40:00.0,30:00.0,9925,1,61,162.704918,9925,8,10,5
24,00:10.2,0000,7174,25:55.2,0025,25,7196,83,66,17,52.8,25.75,0,31:00.0,51:00.0,6539,1,44,148.613636,6539,18,14,10
6,36:08.1,0036,7267,55:53.1,0055,19,7272,48,45,3,15.79,19.75,0,59:00.0,44:00.0,8942,1,44,402.636364,17716,11,6,-1
21,00:05.1,0000,7276,29:08.2,0029,29,7293,85,66,19,35.17,0,0,32:00.0,06:00.0,11216,0,,,,11,16,9
7,17:38.2,0017,9811,31:05.2,0031,14,9818,77,64,13,30,13.45,0,30:00.0,50:00.0,5893,1,20,294.65,5893,7,13,10
20,18:15.4,0018,26825,41:23.4,0041,23,26846,80,58,22,54.78,23.13,0,40:00.0,10:00.0,6868,1,41,167.512195,6868,6,13,9
2,20:36.4,0020,12557,30:46.4,0030,10,12559,94,92,2,12,10.17,0,20:00.0,40:00.0,645,1,2,322.5,645,8,16,16
64,29:33.4,0029,12559,45:22.6,0045,16,12623,96,37,59,50.53,19.27,39.38,40:00.0,30:00.0,9595,1,64,149.921875,9595,8,16,5
2,39:22.0,0039,10901,46:16.0,0046,7,10903,76,73,3,17.14,3.1,0,46:00.0,22:00.0,4263,1,22,193.772727,4263,20,13,12
6,03:17.9,0003,10282,19:38.9,0019,16,10288,75,68,7,22.5,0,0,20:00.0,10:00.0,4982,1,23,216.608696,4982,20,11,-1
26,18:57.1,0018,9522,51:46.1,0051,33,9539,65,47,18,30.91,32.82,0,55:00.0,30:00.0,16604,1,58,286.275862,16604,13,11,6
6,16:19.9,0016,8061,41:21.0,0041,25,8067,93,88,5,14.4,17,0.97,47:00.0,41:00.0,2688,1,18,149.333333,2688,18,15,-1
9,03:46.7,0003,8642,21:31.7,0021,18,8649,58,52,6,23.33,0,0,30:00.0,25:00.0,2656,1,44,60.363636,2656,11,8,-1
3,45:43.6,0045,24793,55:40.6,0055,10,24796,70,64,6,18,0,4.9,10:00.0,10:00.0,5159,1,22,234.5,5159,17,11,10
4,10:28.7,0010,9277,19:36.7,0019,9,9282,75,68,7,33.33,0,6.08,10:00.0,20:00.0,5040,1,21,240,5040,7,12,11
7,28:26.4,0028,16285,44:49.4,0044,16,16292,52,45,7,26.25,0,14.33,40:00.0,20:00.0,9527,1,62,153.66129,9527,15,8,7
